Case Type,Sub-Type,Value Involved,Agreement Signed,Notice Given,Consumer Complaint,Matrimonial Issue,Legal Issue
Civil,Eviction,<10k,Yes,Yes,No,No,Yes
Criminal,Domestic Violence,>1L,Yes,Yes,No,No,Yes
PIL,Right to Education,N/A,No,No,Yes,No,Yes
Consumer,Non-Delivery,10k�1L,Yes,Yes,Yes,No,Yes
PIL,Government Inaction,N/A,No,Yes,Yes,No,Yes
Environmental,Illegal Mining,N/A,Yes,No,No,No,Yes
Family,Maintenance,10k�1L,Yes,No,No,Yes,Yes
Consumer,Non-Delivery,>1L,No,No,Yes,No,Yes
Criminal,Domestic Violence,<10k,Yes,No,Yes,No,Yes
Family,Child Custody,>1L,Yes,Yes,No,Yes,Yes
Criminal,Domestic Violence,>1L,Yes,Yes,Yes,No,Yes
Consumer,False Ads,10k�1L,No,Yes,Yes,No,Yes
Consumer,Defective Product,>1L,Yes,No,Yes,No,Yes
Environmental,Illegal Mining,>1L,No,Yes,Yes,No,Yes
PIL,RTI Delay,N/A,No,Yes,Yes,No,Yes
Environmental,Land Violation,<10k,Yes,No,No,No,Yes
Criminal,Theft,N/A,No,Yes,No,No,Yes
PIL,Right to Education,N/A,Yes,Yes,Yes,No,Yes
Environmental,Pollution,N/A,No,Yes,No,No,Yes
Family,Divorce,>1L,No,Yes,Yes,Yes,Yes
Consumer,Defective Product,N/A,Yes,No,Yes,No,Yes
Civil,Cheque Bounce,10k�1L,No,Yes,Yes,No,Yes
PIL,RTI Delay,N/A,Yes,Yes,No,No,Yes
Consumer,Non-Delivery,>1L,Yes,No,Yes,No,Yes
Civil,Cheque Bounce,>1L,Yes,No,No,No,Yes
PIL,RTI Delay,N/A,No,Yes,Yes,No,Yes
Family,Child Custody,10k�1L,Yes,No,Yes,Yes,Yes
Criminal,Domestic Violence,N/A,No,Yes,No,No,Yes
Family,Child Custody,N/A,Yes,Yes,Yes,Yes,Yes
Criminal,Dowry Harassment,10k�1L,No,Yes,No,No,Yes
Consumer,False Ads,>1L,Yes,Yes,Yes,No,Yes
Consumer,False Ads,<10k,No,Yes,Yes,No,No
PIL,RTI Delay,N/A,No,No,No,No,Yes
Civil,Cheque Bounce,<10k,No,No,No,No,Yes
Civil,Cheque Bounce,10k�1L,No,Yes,No,No,Yes
Family,Child Custody,N/A,Yes,Yes,Yes,Yes,Yes
Civil,Property Dispute,10k�1L,Yes,No,Yes,No,No
PIL,Right to Education,N/A,Yes,No,No,No,Yes
Consumer,Non-Delivery,<10k,No,No,Yes,No,No
PIL,Government Inaction,N/A,Yes,No,Yes,No,Yes
Family,Divorce,<10k,No,Yes,No,Yes,Yes
PIL,RTI Delay,N/A,Yes,Yes,Yes,No,Yes
Consumer,Non-Delivery,10k�1L,No,Yes,Yes,No,Yes
PIL,RTI Delay,N/A,Yes,Yes,No,No,Yes
Consumer,Non-Delivery,10k�1L,No,No,Yes,No,Yes
Civil,Eviction,N/A,No,No,No,No,Yes
